"1boy","1男孩"
"diffraction spikes","衍射尖峰"
"digdug006","挖掘006"
"digging","挖掘"
"digimon","数码宝贝"
"digimon (creature)","数码宝贝（生物）"
"digimon adventure","数码宝贝大冒险"
"digimon adventure 02","数码宝贝大冒险 02314"
"digimon adventure tri.","数码宝贝大冒险tri."
"digimon frontier","数码宝贝边境"
"digimon savers","数码宝贝拯救者"
"digimon story: cyber sleuth","数码宝贝故事：网络侦探"
"digimon tamers","数码宝贝驯兽师"
"digimon xros wars","数码宝贝 xros 战争"
"digital camera","数码相机"
"digital camouflage","数码迷彩"
"digital clock","数字时钟"
"digital dissolve","数字溶解"
"digital hazard","数字危险"
"digital media player","数字媒体播放器"
"digital thermometer","数字温度计"
"digitigrade","数位"
"digivice","数码"
"diglett","迪格利特"
"diisuke","迪伊苏克"
"diives","潜水"
"dikko","dikko"
"dilated pupils","瞳孔散大"
"dilation belt","扩张带"
"dilation tape","扩张带"
"dildo","假阳具"
"dildo gag","假阳具堵嘴"
"dildo harness","假阳具线束"
"dildo riding","假阳具骑"
"dildo under clothes","衣服下的假阳具"
"dildo under panties","内裤下的假阳具"
"diluc (genshin impact)","diluc（原神冲击）"
"dimension w","尺寸 w"
"dimension witch (elsword)","次元女巫（艾斯之剑）"
"dimitri alexandre blaiddyd","迪米特里·亚历山大·布莱迪"
"dimples of venus","金星的酒窝"
"din (flypaper)","din（蝇纸）"
"din (raiden)","丁（雷电）"
"diner","晚餐"
"dinergate (girls' frontline)","dinergate（少女前线）"
"dinner","晚餐"
"dino (dinoartforame)","迪诺 (dinoartforame)"
"dinosaur","恐龙"
"dinosaur costume","恐龙服装"
"dinosaur tail","恐龙尾巴"
"dio brando","迪奥白兰度"
"diola (granblue fantasy)","迪奥拉（碧蓝幻想）"
"diona (genshin impact)","diona (genshin Impact)"
"dior-zi","迪奥-zi"
"diorama","西洋镜"
"diploma","文凭"
"dipper pines","北斗松"
"dire wolf (kemono friends)","可怕的狼（kemono 朋友）"
"director chimera (spy x family)","导演奇美拉（间谍 x 家族）"
"dirge of cerberus final fantasy vii","地狱犬的挽歌最终幻想 vii"
"dirigible","飞船"
"dirndl","少女装"
"dirt","污垢"
"dirt road","土路"
"dirty","脏的"
"dirty clothes","脏衣服"
"dirty deeds done dirt cheap","肮脏的行为做得非常便宜"
"dirty ero","肮脏的 ero"
"dirty face","脏脸"
"dirty feet","脏脚"
"dirty pair","肮脏的一对"
"disappointed","失望"
"disco ball","迪斯科球"
"disco brando","白兰度迪斯科"
"disdain","不屑"
"dise","疾病"
"disembodied eye","无实体的眼睛"
"disembodied head","无形的头"
"disembodied limb","脱离肢体"
"disembodied penis","无实体的阴茎"
"disgaea","魔界"
"disgaea d2","魔界战记 d2"
"disgaea rpg","Disgaea RPG"
"disguise","伪装"
"disgust","厌恶"
"dishes","菜肴"
"dishwasher1910","洗碗机1910"
"dishwashing","洗碗"
"disintegration","解体"
"dismemberment","肢解"
"disney","迪士尼"
"disneyland","迪士尼乐园"
"display","显示"
"display case","展示柜"
"disposable cup","一次性杯子"
"dissidia 012 final fantasy","纷争 012 最终幻想"
"dissidia final fantasy","纷争最终幻想1047"
"dissolving","溶解"
"dissolving clothes","溶解衣服"
"distortion","失真"
"distr","区369"
"distress","遇险"
"dithering","抖动"
"ditienan ddn","地铁南 ddn"
"ditto","同上"
"diva (hyxpk)","女主角 (hyxpk)"
"dive ball","潜水球"
"dive to zone","潜入区域"
"divine gate","神门837"
"diving","潜水"
"diving helmet","潜水头盔"
"diving mask","潜水面罩"
"diving mask on head","头戴式潜水面罩"
"diving regulator","潜水调节器"
"diving suit","潜水服"
"dixie cup hat","迪克西杯帽"
"diyusi (cookie)","diyusi (饼干)"
"dizi930","笛子930"
"dizzy (feeling)","头晕（感觉）"
"dizzy (guilty gear)","头晕目眩（罪恶装备）"
"dj","DJ"
"dj max","DJ 最大"
"dj max portable","DJ 最大便携式"
"djeeta (granblue fantasy)","djeeta (granblue 幻想)"
"djheycha","djheycha"
"dk.senie","dk.senie"
"dlanon","德兰农"
"dlanor a. knox","德兰诺湾诺克斯"
"dlsite.com","dlsite.com"
"dm (dai miao)","dm（代苗）"
"dm owr","dm owr"
"dmm","dmm"
"dmsco1803","dmsco1803"
"do (4-rt)","做（4-rt）"
"do m kaeru","do m kaeru"
"dobato","多巴托"
"doberman","杜宾犬"
"dobermann (arknights)","杜宾犬（方舟之夜）"
"dobrynya nikitich (fate)","dobrynya nikitich (命运)"
"dobunezumi","dobunezumi"
"dock","码头"
"doco (doco3811)","多科 (doco3811)"
"doctor","医生"
"doctor (arknights)","医生 (arknights)"
"doctor who","医生"
"dodai shouji","同代精机"
"dodging","闪避"
"dodoco (genshin impact)","dodoco（原神冲击）"
"dododo dadada","渡渡鸟达达达"
"dodome-iro mayonnaise","dodome-iro 蛋黄酱"
"dodomori","dodomori"
"dodonpachi","斗冬八"
"dodrio","多德里奥"
"doduo","哆哆"
"dofresh","多新鲜"
"dog","狗"
"dog (duck hunt)","狗（猎鸭）"
"dog (mixed breed) (kemono friends)","狗（混合品种）（kemono 朋友）"
"dog (shiba inu) (kemono friends)","狗 (shiba inu) (kemono 朋友)"
"dog boy","狗男孩"
"dog child (doitsuken)","狗孩子 (doitsken)"
"dog costume","狗服装"
"dog days","三伏天"
"dog ears","狗耳朵"
"dog girl","狗女孩"
"dog hair ornament","狗头饰"
"dog hood","狗罩"
"dog on head","狗在头上"
"dog paws","狗爪"
"dog penis","狗阴茎"
"dog print","狗印"
"dog tags","狗牌"
"dog tail","狗尾巴"
"dog walking","遛狗"
"doge","总督"
"dogeza","多格萨"
"dogfight","混战"
"doggystyle","doggystyle"
"doghouse","狗窝"
"dogoo","狗狗"
"dogpile","狗堆"
"dogs: bullets & carnage","狗：子弹与屠杀"
"dohna dohna issho ni warui koto o shiyou","dohna dohna issho ni warui koto o shiyou"
"doily","桌巾"
"doitsuken","做工"
"dojikko","童子子"
"dojikko pose","dojikko姿势"
"dojirou","同治郎"
"dojo","道场"
"dok-ja kim","金德子"
"doki doki literature club","doki doki 文学俱乐部"
"doki doki majo shinpan","doki doki majo shinpan"
"dokidoki sister aoi-chan","dokidoki 姐姐葵酱"
"dokidoki! precure","多基多基！预固化剂"
"doko tetora","doko tetora"
"dokomon","道可门"
"dokshuri","独首里"
"doku corne","独角"
"doku-chan (dokkudokudoku)","doku-chan (dokkudokudoku)"
"dokugamine riruka","dokugamine riruka"
"dokuro deluxe","dokuro 豪华"
"dokuro-kun (houshou marine)","dokuro-kun (houshou Marine)"
"dokuro-san","dokuro-san"
"dola (nijisanji)","多拉 (nijisanji)"
"dolce (dolsuke)","甜蜜（dolsuke）"
"dolechan","多乐灿"
"doll","娃娃"
"doll (ib)","娃娃 (ib)"
"doll hug","娃娃拥抱"
"doll joints","娃娃关节"
"dollar bill","美元钞票"
"dollar sign","美元符号"
"dolls in pseudo paradise","假天堂里的玩偶"
"dolphin","海豚"
"dolphin girl","海豚女孩"
"dolphin hair ornament","海豚头饰"
"dolphin shorts","海豚短裤"
"dolri","多里"
"dom","dom"
"doma umaru","doma umaru"
"dome","圆顶"
"domestic na kanojo","国内的 na kanojo"
"domination","统治"
"dominator (gun)","支配者（枪）"
"dominatrix","施虐者"
"dominica s. gentile","多米尼加河外邦人"
"domino high school uniform","多米诺骨牌高中制服"
"domino mask","多米诺骨牌面具"
"domo1220","domo1220"
"domon kasshu","多蒙卡舒"
"domotolain","多莫托林"
"domyoji karin","domyoji karin"
"don (29219)","唐 (29219)"
"don (rg06268)","唐 (rg06268)"
"don't say \lazy\","不要说\懒惰\"
"don-chan (usada pekora)","don-chan (usada pekora)"
"donald duck","唐老鸭"
"donation box","捐款箱"
"donburi (donburikazoku)","盖饭 (donburikazoku)"
"done (donezumi)","完成 (donezumi)"
"donedone","完成了"
"dongho kang","东湖康"
"donguri suzume","donguri suzume"
"donkey","驴"
"donkey ears","驴耳朵"
"donkey girl","驴娘"
"donkey kong","大金刚"
"donkey kong (series)","大金刚（系列）"
"donkey kong country","大金刚国"
"donnpati","唐帕蒂"
"donquixote doflamingo","唐吉诃德·多弗朗明哥"
"donquixote rocinante","唐吉诃德罗西南特"
"donson","唐森"
"donutman","甜甜圈91"
"doom (series)","厄运（系列）"
"doom eternal","厄运永恒"
"doomguy","末日之子"
"door","门"
"door handle","门把手"
"doora (dora0913)","多拉 (dora0913)"
"doorbell","门铃"
"doorknob","门把手"
"doormat","门垫"
"doorway","门口"
"dopamine70","多巴胺70"
"dopey (dopq)","笨蛋 (dopq)"
"doppel (bonnypir)","分身（bonnypir）"
"doppel (monster musume)","分身（怪物娘）"
"doppelganger","分身"
"dora ita","朵拉 ita"
"dora v nu","多拉诉努"
"doraemon","哆啦A梦"
"doraemon (character)","哆啦A梦（角色）"
"doraeshi","哆啦A梦"
"dorayaki","铜锣烧"
"dore (gilles dore)","多尔（吉尔斯多尔）"
"dorei to no seikatsu ~teaching feeling~","dorei to no seikatsu ~教学感觉~"
"doremi","多雷米"
"doremy sweet","多米甜心"
"doria (p f dolia)","多利亚 (pf dolia)"
"dorianpanda","dorianpanda"
"doritos","多力多滋"
"doro (sabarudoro)","多罗 (sabarudoro)"
"dorohedoro","多罗黑多罗"
"doromame","多罗马"
"doronjo","多龙乔"
"dorontabi","多龙塔比"
"dororo (character)","dororo（字符）"
"dororo (tezuka)","dororo (手冢)"
"dororon enma-kun","dororon 炎魔君"
"dorothea arnault","多萝西娅·阿尔诺"
"dorothy (princess principal)","多萝西（公主校长）"
"dorothy haze","多萝西阴霾"
"dorothy west","多萝西·韦斯特"
"dorsal fin","背鳍"
"dorsiflexion","背屈"
"dorua (dollar)","多鲁阿（美元）"
"doruji","多鲁吉"
"dos (james30226)","多斯 (james30226)"
"doseisan","剂量isan"
"doskoinpo","多斯科因波"
"dosugon","哆啦a梦"
"dot mouth","点嘴"
"dot nose","点鼻"
"dot pupils","点瞳孔"
"dota (series)","刀塔（系列）"
"dota 2","刀塔 2"
"dots","点"
"dotsuco","豆豆"
"dotted background","虚线背景"
"dotted line","虚线"
"dotted quarter note","虚线四分音符"
"dou","斗"
"double (skullgirls)","双（骷髅女孩）"
"double amputee","双截肢者"
"double anal","双肛门"
"double bass","低音提琴"
"double breast sucking","双吸乳"
"double bun","双包子"
"double cheek kiss","双颊吻"
"double dealing character","双重交易字符"
"double dildo","双假阳具"
"double exposure","双重曝光"
"double fox shadow puppet","双狐皮影"
"double grinding","双磨"
"double handjob","双打手枪"
"double horizontal stripe","双横条纹"
"double insertion","双插入"
"double middle finger","双中指"
"double penetration","双渗透"
"double scoop","双勺"
"double spoiler","双扰流板"
"double thumbs up","竖起大拇指"
"double v","双 v"
"double vaginal","双阴道"
"double vertical stripe","双竖条纹"
"double w","双 w"
"double \\m/","双 \\m/"
"double-blade","双刀片"
"double-breasted","双排扣"
"doudanuki masakuni","豆豆贯正国"
"dougan calpis con","dougan calpis con"
"dough","面团"
"doughnut","甜甜圈"
"doughnut hair bun","甜甜圈发髻"
"doughnut innertube","甜甜圈内胎"
"dougi","豆豆"
"douji","豆豆"
"doujima nanako","堂岛菜菜子"
"doujima ryoutarou","同岛凉太郎"
"doujin cover","同人封面"
"doujinshi","同人志"
"douki-chan (douki-chan)","douki-chan (douki-chan)"
"douki-kun (douki-chan)","童机君 (douki-chan)"
"doukutsu monogatari","doukutsu物语"
"doukyo's","同乐的"
"doukyuusei","同游星"
"doukyuusei 2","同游星 2"
"doukyuusei another world","异世界863"
"douluo dalu","斗罗大陆627"
"douma (kimetsu no yaiba)","douma (kimetsu no yaiba)"
"doumou","斗某"
"doupo cangqiong","斗破苍穹"
"doushimasho","同师马商"
"douya (233)","豆芽 (233)"
"dove","鸽子"
"dowman sayman","道曼·赛曼"
"down jacket","羽绒服"
"downblouse","羽绒服"
"downpants","内裤"
"downscaled","缩小比例"
"downtown no gaki no tsukai ya arahende!!","市区之垣之使者 arahende !!"
"dowsing rod","探矿棒"
"doxy","doxy"
"doyachii","多亚奇"
"doyagao","多亚高"
"doyora","哆啦A梦"
"doyouwantto","做你想做的"
"dp-12 (girls' frontline)","dp-12（女孩前线）"
"dqn (dqnww)","dqn (dqnww)"
"dr graevling","格雷夫林博士"
"dr pepper","胡椒博士"
"dr rex","雷克斯博士"
"dr. eggman","博士。蛋人"
"dr. mario (game)","博士。马里奥（游戏）"
"dr. slump","博士。暴跌"
"dr. stone","博士。石头"
"dr.p","博士"
"dra","德拉"
"draco centauros","半人马龙"
"dracu-riot!","德拉库暴动！"
"dracule mihawk","dracule 米霍克"
"draenei","德莱尼"
"drag-on dragoon","龙骑"
"drag-on dragoon 1","龙骑龙 1"
"drag-on dragoon 3","龙骑龙 3"
"dragalia lost","德拉加利亚失去了"
"dragapult","拖拉机"
"dragging","拖动"
"dragon","龙"
"dragon (arms)","龙（武器）"
"dragon arm","龙臂"
"dragon ball","龙珠"
"dragon ball (classic)","龙珠（经典）"
"dragon ball (object)","龙珠（物体）"
"dragon ball fighterz","龙珠斗士 1153"
"dragon ball gt","龙珠 gt"
"dragon ball heroes","龙珠英雄"
"dragon ball minus","龙珠减"
"dragon ball super","龙珠超2304"
"dragon ball super broly","龙珠超布罗利"
"dragon ball super super hero","龙珠超级英雄"
"dragon ball z","龙珠 z"
"dragon boy","龙男孩"
"dragon claw","龙爪"
"dragon costume","龙装"
"dragon girl","龙女"
"dragon horns","龙角"
"dragon kid","龙小子"
"dragon nest","龙巢"
"dragon print","龙纹"
"dragon quest","勇者斗恶龙"
"dragon quest dai no daibouken","勇者斗恶龙代之大宝剑"
"dragon quest i","勇者斗恶龙 I"
"dragon quest ii","勇者斗恶龙 ii"
"dragon quest iii","勇者斗恶龙 iii"
"dragon quest iv","勇者斗恶龙 iv"
"dragon quest ix","勇者斗恶龙 ix"
"dragon quest v","勇者斗恶龙 v"
"dragon quest vi","勇者斗恶龙vi"
"dragon quest vii","勇者斗恶龙 vii"
"dragon quest viii","勇者斗恶龙八"
"dragon quest x","勇者斗恶龙 x"
"dragon quest xi","勇者斗恶龙 xi"
"dragon quest yuusha abel densetsu","勇者斗恶龙 yusha abel densetsu"
"dragon radar","龙雷达"
"dragon riding","骑龙"
"dragon slayer ornstein","屠龙者奥恩斯坦"
"dragon tail","龙尾"
"dragon tattoo","龙纹身"
"dragon wings","龙翼"
"dragon yukano","龙 yukano"
"dragon's crown","龙冠"
"dragon's dogma","龙的教条"
"dragon@harry","龙@哈利"
"dragonair","龙航"
"dragonaut","龙女"
"dragonfly","蜻蜓"
"dragonite","龙石"
"dragonmaterial","龙材料"
"dragonslayer (sword)","屠龙者（剑）"
"dragonstone","龙石"
"dragoon","龙骑"
"dragoon (final fantasy)","龙骑兵（最终幻想）"
"dragunov svd","德拉古诺夫 svd"
"drain (object)","排水管（对象）"
"drainpipe","排水管"
"drake (azur lane)","德雷克（碧蓝航线）"
"dramatical murder","戏剧性谋杀"
"drang (granblue fantasy)","drang（碧蓝幻想）"
"draph","绘图"
"dratini","德拉蒂尼"
"draven","96"
"drawer","抽屉"
"drawfag","拉丝"
"drawing","绘图"
"drawing bow","拉弓"
"drawing on another's face","画在别人的脸上"
"drawing sword","拔剑"
"drawing tablet","绘图板"
"drawn ears","拉耳朵"
"drawn whiskers","画胡须"
"drawn wings","绘制的翅膀"
"drawstring","抽绳"
"drayden (pokemon)","德雷登（口袋妖怪）"
"dreadlocks","长发绺"
"dreadtie","可怕的领带"
"dream c club","梦想 c 俱乐部"
"dream c club (series)","梦想c俱乐部（系列）"
"dream catcher","追梦人"
"dream hunter rem","梦想猎人雷姆"
"dream soul","梦魂619"
"dreamer (girls' frontline)","梦想家（少女前线）"
"dreaming","做梦"
"dreamlight2000","梦光2000"
"drednaw","德雷瑙"
"dreepy","令人毛骨悚然"
"dress","连衣裙"
"dress aside","把衣服放在一边"
"dress bow","礼服蝴蝶结"
"dress flip","连衣裙翻转"
"dress flower","礼服花"
"dress grab","衣服抓斗"
"dress in mouth","穿在嘴里"
"dress lift","礼服电梯"
"dress pull","连衣裙拉"
"dress removed","脱掉衣服"
"dress shirt","礼服衬衫"
"dress shoes","礼服鞋"
"dress swimsuit","连衣裙泳装"
"dress tug","拖船"
"dressing","敷料"
"dressing another","穿着另一个"
"dressing room","更衣室"
"dresstrip","装扮"
"drew (drew213g)","绘制 (drew213g)"
"drew (pokemon)","画（口袋妖怪）"
"drie","干"
"drifblim","漂流"
"drifloon","飞龙"
"drifters","流浪者"
"drifting","漂流"
"driftkingtw","漂流王tw"
"drill","钻头"
"drill hair","钻头"
"drill locks","钻锁"
"drink","饮料"
"drinking","喝酒"
"drinking fountain","饮水机"
"drinking glass","水杯"
"drinking pee","喝尿"
"drinking straw","吸管"
"drinking straw in mouth","吸管在嘴里"
"dripping","滴水"
"driver (kamen rider)","司机（假面骑士）"
"driving","驾驶"
"drizzile","毛毛雨"
"droid","机器人"
"dromarch (xenoblade)","dromarch（异种之刃）"
"drone","无人机"
"drooling","流口水"
"drop earrings","耳坠"
"drop shadow","投影"
"drop trap","坠落陷阱"
"dropping","下降"
"dross","渣滓"
"drossel von flugel","德罗塞尔·冯·弗鲁格尔"
"drowning","溺水"
"drowzee","打瞌睡"
"druaga no tou","druaga no tou"
"drugged","下药"
"drugs","药品"
"drum","鼓"
"drum (container)","鼓（容器）"
"drum magazine","鼓弹匣"
"drum set","鼓组"
"drumming","打鼓"
"drumsticks","鼓槌"
"drunk","喝醉了"
"drunkoak","醉酒"
"dry humping","干驼峰"
"dryad","树妖"
"drying","烘干"
"drying clothes","烘干衣服"
"drying hair","吹干头发"
"dsmile","dsmile"
"dsr-50 (girls' frontline)","dsr-50（女子前线）"
"dsr-50 (highest bid) (girls' frontline)","dsr-50（最高出价）（少女前线）"
"dual persona","双重人格"
"dual wielding","双持"
"dualshock","双重冲击"
"duan henglong","段恒龙"
"dubwool","地棉"
"duca","杜卡"
"duca degli abruzzi (azur lane)","duca degli abruzzi（碧蓝航线）"
"duck","鸭子"
"duck (duck hunt)","鸭子（猎鸭）"
"duck hunt","猎鸭"
"ducklett","小鸭"
"duckling","小鸭"
"duckman","鸭人"
"duct tape","胶带"
"dudley","达德利"
"dudou","嘟嘟"
"duel","决斗"
"duel academy uniform (yu-gi-oh! gx)","决斗学院制服 (yu-gi-oh! gx)"
"duel disk","决斗盘"
"duel masters","决斗大师"
"duel monster","决斗怪物"
"duffel bag","行李袋"
"duffel coat","粗呢大衣"
"dugtrio","杜格特里奥"
"duke (inu daimyou)","公爵 (inu daimyou)"
"duke of york (azur lane)","约克公爵（碧蓝航线）"
"dullahan","杜拉汉"
"dulldull","沉闷"
"dumbbell","哑铃"
"dumbbell nan kilo moteru?","哑铃 nankilo moteru?"
"dumpling","饺子"
"dunbine","邓拜恩"
"dungeon","地牢"
"dungeon and fighter","地下城与战士"
"dungeon meshi","地牢meshi"
"dungeon ni deai wo motomeru no wa machigatteiru darou ka","Dungeon ni deai wo motomeru no wa machigatteiru darou ka"
"dungeon toaster","地牢烤面包机"
"dungeon travelers 2","地牢旅行者 2"
"dungeons and dragons","龙与地下城"
"dunkerque (azur lane)","敦刻尔克（碧蓝航线）"
"dunkerque (summer sucre) (azur lane)","敦刻尔克（苏克雷之夏）（碧蓝航线）"
"duo maxwell","麦克斯韦二人组"
"duosion","二重奏"
"duoyuanjun","多源君"
"duplicate","重复"
"dura","硬脑膜"
"duraludon","杜拉龙"
"durarara!!","杜拉拉拉！！"
"durin (arknights)","都灵（方舟之夜）"
"dusclops","十二点"
"dusk","黄昏"
"dusk (arknights)","黄昏（方舟）"
"dusk (everything is a miracle) (arknights)","黄昏（一切都是奇迹）（方舟之夜）"
"dusk ball","黄昏球"
"dusknoir","黑夜"
"duskull","黄昏"
"dust","灰尘"
"dust cloud","尘云"
"duster","除尘器"
"dustpan","簸箕"
"dusty (gravity daze)","尘土飞扬（重力发呆）"
"dutch angle","荷兰角"
"duto","杜托"
"dvalin (genshin impact)","dvalin（原神冲击）"
"dvd case","DVD 盒"
"dvd cover","DVD 封面"
"dwarf","矮人"
"dx","DX"
"dx (dekusu)","dx (dekusu)"
"dyed ahoge","染色 ahoge"
"dyed bangs","染刘海"
"dying","垂死"
"dying message","垂死的消息"
"dynamax","动力最大"
"dynamax band","dynamax 乐队"
"dynamic pose","动态姿势"
"dynamite","炸药"
"dynamite pussy cat","炸药猫猫"
"dynamo roller (splatoon)","发电机滚筒（splatoon）"
"dyresbroom","扫帚"
"dyson (edaokunnsaikouya)","戴森 (edaokunnsaikouya)"
"dytm","dytm"
"dyun","dyun"
"e sky rugo","e 天空 rugo"
"e volution","进化"
"e-co","电子商务"
"e-fa-dorn","e-fa-dorn"
"e-hentai sample","电子无尽样本"
"e-liter 3k (splatoon)","e-liter 3k (splatoon)"
"e.o.","EO"
"e10","e10"
"e16a zuiun","e16a 醉云"
"e20","e20"
"e=mc2 (mosimosi)","e=mc2 (mosimosi)"
"ea (fate/stay night)","ea（命运/留宿之夜）"
"eagle","老鹰"
"eagle spirit (touhou)","鹰魂（东方）"
"eagle union (emblem)","鹰联盟（标志）"
"ear biting","咬耳朵"
"ear blush","耳红"
"ear bow","耳弓"
"ear chain","耳链"
"ear cleaning","耳朵清洁"
"ear covers","耳罩"
"ear down","耳朵向下"
"ear focus","耳朵焦点"
"ear grab","抓耳器"
"ear ornament","耳饰"
"ear piercing","耳洞"
"ear protection","护耳"
"ear pull","耳拉"
"ear ribbon","耳带"
"ear scrunchie","耳发圈"
"ear tag","耳标"
"ear twitch","耳朵抽搐"
"ear wiggle","耳朵摆动"
"earasensha","耳拉森沙"
"earbuds","耳塞"
"earclip","耳夹"
"eargasm","耳塞"
"earlgrey","厄尔格雷"
"earmuffs","耳罩"
"earphones","耳机"
"earphones removed","取下耳机"
"earpiece","听筒"
"earplugs","耳塞"
"earrings","耳环"
"ears down","耳朵向下"
"ears through headwear","耳朵穿过头饰"
"ears visible through hair","通过头发可以看到耳朵"
"earth (ornament)","土（饰品）"
"earth (planet)","地球（行星）"
"earth ekami","地球站上"
"earth eleven","地球十一"
"earth federation","地球联邦"
"earth-chan","地球瓒"
"earthworm","蚯蚓"
"eas","东亚"
"easel","画架"
"easonx","easonx"
"east asian architecture","东亚建筑"
"east sha2","东沙2"
"easter","复活节"
"easter egg","复活节彩蛋"
"eastern dragon","东方龙"
"easy (aqk7bdqt)","容易 (aqk7bdqt)"
"easy chair","安乐椅"
"eating","吃饭"
"eating hair","吃头发"
"eavesdropping","窃听"
"ebanoniwa","茄庭"
"ebata risa","ebata risa"
"ebi (eeotoko)","ebi (eeotoko)"
"ebi 193","ebi 193"
"ebi frion (natsuiro matsuri)","ebi frion (natsuiro matsuri)"
"ebi puri (ebi-ebi)","ebi puri (ebi-ebi)"
"ebi tendon","ebi肌腱"
"ebiblue","碧蓝"
"ebido","埃比多"
"ebifly","ebifly"
"ebifurya","ebifurya"
"ebihara naho","荏原菜穗"
"ebimomo","ebimomo"
"ebina nana","海名娜娜"
"ebinku","ebinku"
"ebira","荏平"
"ebisu (dorohedoro)","惠比寿 (dorohedoro)"
"ebisu eika","惠比寿 eika"
"ebisuzawa kurumi","惠比泽久留美"
"ebitetsu","永别"
"ebizome","ebizome"
"ecell","细胞"
"ech","ech"
"echidna (p&d)","针鼹 (p&d)"
"echidna (queen's blade)","针鼹（女王之刃）"
"echidna (re:zero)","针鼹（重新：零）"
"echigo mitsutaka","越后光孝"
"echizen (hvcv)","越前 (hvcv)"
"echizen (n fns17)","越前 (n fns17)"
"echj","echj"
"echo (circa)","回声（大约）"
"echo saber","回声军刀"
"echoes (stand)","回声（立场）"
"eclair (kiddy grade)","泡芙（儿童级）"
"eclair martinozzi","泡芙马丁诺齐"
"eclipse","日食"
"ecoman","经济人"
"ecru","米色"
"edea lee","艾迪·李"
"edelgard von hresvelg","edelgard von hresvelg"
"eden (honkai impact)","伊甸园（本海冲击）"
"eden academy uniform","伊甸园校服"
"eden's zero","伊甸园的零"
"edgar roni figaro","埃德加·罗尼·费加罗"
"edging underwear","磨边内衣"
"edinburgh (azur lane)","爱丁堡（碧蓝航线）"
"edmond (nu carnival)","埃德蒙（nu 狂欢节）"
"edmond dantes (fate)","埃德蒙·唐太斯（命运）"
"edmond honda","埃德蒙本田"
"edna (tales)","埃德娜（故事）"
"edobox","江户盒"
"edogawa conan","江户川柯南"
"edogawa nao","江户川直"
"edogawa roman","江户川罗马"
"edogawakid","江户川小子"
"edomae lunar","江户前月球"
"edoya inuhachi","江户也犬八"
"edoya pochi","江户屋波奇"
"edward elric","爱德华·埃里克"
"edward geraldine","爱德华·杰拉尔丁"
"edward newgate","爱德华纽盖特"
"edward teach (fate)","爱德华教（命运）"
"edward wong hau pepelu tivrusky iv","爱德华·王后 pepelu tivrusky iv"
"edwin (cyberdark impacts)","埃德温（网络黑暗影响）"
"edytha rossmann","埃迪莎·罗斯曼"
"eeeeee","eeeeee"
"eel","鳗鱼"
"eel hat","鳗鱼帽"
"eelektross","电车"
"eerr","错误"
"eevee","伊布"
"eevee (cosplay)","伊布（角色扮演）"
"eevee ears","伊布耳朵"
"eevee tail","伊布尾巴"
"ef","EF"
"efe","efe"
"efukei","福惠"
"efuri (riarea00)","埃富里 (riarea00)"
"egami","江上"
"egasumi","江澄"
"egawa satsuki","江川小月"
"egg","鸡蛋"
"egg (food)","鸡蛋（食品）"
"egg hair ornament","蛋发饰"
"egg implantation","卵子植入"
"egg laying","产卵"
"egg vibrator","鸡蛋振动器"
"egg yolk","蛋黄"
"eggman (pixiv28975023)","蛋人 (pixiv28975023)"
"eggplant","茄子"
"eggshell","蛋壳"
"egk513","egk513"
"egnigem cenia","Egnigem cenia"
"egooo","egooo"
"eguchi sera","江口血清"
"egypt","埃及"
"egyptian","埃及人"
"egyptian art","埃及艺术"
"egyptian clothes","埃及服装"
"egyptian loli (surio)","埃及萝莉 (surio)"
"egyptian mythology","埃及神话"
"ehart","哈特"
"eho (icbm)","eho (icbm)"
"ehoumaki","江穗卷"
"ehrrr","呃"
"ei (marutendon)","ei (marutendon)"
"eichan (eichanidfi)","eichan (eichanidfi)"
"eichi yuu","英一悠"
"eichisu","永寿"
"eiden (nu carnival)","eiden (nu 狂欢节)"
"eien no aselia","没有阿塞利亚"
"eien no sai tori","永不西托里"
"eiffel tower","埃菲尔铁塔"
"eighth note","八分音符"
"eighth rest","第八次休息"
"eihi","艾希"
"eiji (eiji)","荣治（荣治）"
"eiji (monochromexd)","eiji (单色)"
"eijima moko","永岛毛子"
"eiken","英肯"
"eiko carol","英子卡罗尔"
"eiku","英库"
"eila ilmatar juutilainen","艾拉·伊尔马塔尔·尤蒂莱宁"
"eimi (blue archive)","eimi（蓝色档案）"
"ein (cowboy bebop)","ein（牛仔波普）"
"ein (long cake)","ein（长蛋糕）"
"einhart stratos","艾因哈特斯特拉托斯"
"eiri (eirri)","爱里 (eirri)"
"eirika (fire emblem)","eirika（火徽）"
"eiscue","救援"
"eiscue (ice)","eiscue (冰)"
"eiserne jungfrau","艾森少女峰"
"eishin flash (umamusume)","eishin flash (umamusume)"
"eisuto","eisuto"
"eiwa","英华"
"eiyuu densetsu","eiyuu 密苏"
"eiyuu senki","荣优战记480"
"eizen (tales)","eizen（故事）"
"eizouken ni wa te wo dasu na!","eizouken ni wa te wo dasu na!"
"ejaculating while penetrated","射精 同时 穿透"
"ejaculation","射精"
"ejaculation under clothes","在衣服下射精"
"ejami","ejami"
"ek masato","ek 正人"
"ekakibito","ekakibito"
"ekans","伊坎斯"
"ekao","艾考"
"ekaterina kurae","叶卡捷琳娜·库拉"
"ekita kuro","站田黑"
"ekko (ejami)","ekko (ejami)"
"ekko (league of legends)","ekko（英雄联盟）"
"ekm","千公里"
"eko","eko"
"ekra","埃克拉"
